country_code_iso3,n_records_gbif,country_name
ABW,4396,Aruba
AFG,666300,Afghanistan
AGO,188054,Angola
AIA,2252,Anguilla
ALB,26459,Albania
AND,10299,Andorra
ARE,13039,United Arab Emirates
ARG,908862,Argentina
ARM,66378,Armenia
ASM,50562,American Samoa
ATA,49414,Antarctica
ATG,14483,Antigua & Barbuda
AUS,2167383,Australia
AUT,588537,Austria
AZE,62818,Azerbaijan
BDI,38657,Burundi
BEL,490620,Belgium
BEN,31984,Benin
BES,5342,Caribbean Netherlands
BFA,41865,Burkina Faso
BGD,43631,Bangladesh
BGR,130180,Bulgaria
BHR,3894,Bahrain
BHS,121665,Bahamas
BIH,24046,Bosnia & Herzegovina
BLM,3342,St. Barthélemy
BLR,18728,Belarus
BLZ,109724,Belize
BMU,37599,Bermuda
BOL,430494,Bolivia
BRA,8772030,Brazil
BRB,24122,Barbados
BRN,28462,Brunei
BTN,35034,Bhutan
BWA,52845,Botswana
CAF,46555,Central African Republic
CAN,2218823,Canada
CCK,2412,Cocos (Keeling) Islands
CHE,625552,Switzerland
CHL,425703,Chile
CHN,2096806,China
CIV,132677,Côte d’Ivoire
CMR,261471,Cameroon
COD,602280,Congo - Kinshasa
COG,50206,Congo - Brazzaville
COK,22680,Cook Islands
COL,1364137,Colombia
COM,18001,Comoros
CPV,41081,Cape Verde
CRI,620818,Costa Rica
CUB,326586,Cuba
CUW,15508,Curaçao
CYM,13274,Cayman Islands
CYP,68077,Cyprus
CZE,189633,Czechia
DEU,2053311,Germany
DJI,5055,Djibouti
DMA,43286,Dominica
DNK,845481,Denmark
DOM,184226,Dominican Republic
DZA,150717,Algeria
ECU,648028,Ecuador
EGY,176288,Egypt
ERI,18126,Eritrea
ESP,3220457,Spain
EST,784748,Estonia
ETH,245362,Ethiopia
FIN,502423,Finland
FJI,149596,Fiji
FLK,16605,Falkland Islands
FRA,2755757,France
FRO,25873,Faroe Islands
FSM,44962,Micronesia (Federated States of)
GAB,90625,Gabon
GBR,1673416,United Kingdom
GEO,78539,Georgia
GGY,3497,Guernsey
GHA,86600,Ghana
GIB,1822,Gibraltar
GIN,55826,Guinea
GLP,65686,Guadeloupe
GMB,14615,Gambia
GNB,14018,Guinea-Bissau
GNQ,45545,Equatorial Guinea
GRC,360648,Greece
GRD,14721,Grenada
GRL,274373,Greenland
GTM,291058,Guatemala
GUF,160116,French Guiana
GUM,28737,Guam
GUY,172701,Guyana
HND,127881,Honduras
HRV,91842,Croatia
HTI,94347,Haiti
HUN,164911,Hungary
IDN,1571819,Indonesia
IMN,2700,Isle of Man
IRL,95136,Ireland
IRN,305168,Iran
IRQ,89369,Iraq
ISL,94508,Iceland
ISR,125843,Israel
ITA,754610,Italy
JAM,259102,Jamaica
JOR,29657,Jordan
JPN,5227396,Japan
KAZ,130878,Kazakhstan
KEN,368519,Kenya
KGZ,35924,Kyrgyzstan
KHM,39055,Cambodia
KIR,16885,Kiribati
KNA,7556,St. Kitts & Nevis
KOR,2384679,South Korea
KWT,8835,Kuwait
LAO,67595,Laos
LBN,47967,Lebanon
LBR,67037,Liberia
LBY,29236,Libya
LCA,10876,St. Lucia
LIE,1018,Liechtenstein
LKA,240523,Sri Lanka
LSO,15600,Lesotho
LTU,31209,Lithuania
LUX,13531,Luxembourg
LVA,43587,Latvia
MAR,221524,Morocco
MCO,1593,Monaco
MDA,15055,Moldova
MDG,482947,Madagascar
MDV,11142,Maldives
MEX,3585092,Mexico
MHL,54412,Marshall Islands
MKD,21541,North Macedonia
MLI,32963,Mali
MLT,20834,Malta
MMR,115180,Myanmar (Burma)
MNE,13572,Montenegro
MNG,155512,Mongolia
MNP,15436,Northern Mariana Islands
MOZ,110190,Mozambique
MRT,21019,Mauritania
MSR,5827,Montserrat
MTQ,33192,Martinique
MUS,54325,Mauritius
MWI,149111,Malawi
MYS,702741,Malaysia
MYT,11531,Mayotte
NAM,121271,Namibia
NCL,347235,New Caledonia
NER,23065,Niger
NFK,3318,Norfolk Island
NGA,215500,Nigeria
NIC,98912,Nicaragua
NIU,4936,Niue
NLD,1882218,Netherlands
NOR,1262459,Norway
NPL,206776,Nepal
NRU,653,Nauru
NZL,669549,New Zealand
OMN,36903,Oman
PAK,159037,Pakistan
PAN,476648,Panama
PCN,7174,Pitcairn Islands
PER,776100,Peru
PHL,968330,Philippines
PLW,41720,Palau
PNG,611888,Papua New Guinea
POL,1206081,Poland
PRK,30593,North Korea
PRT,400403,Portugal
PRY,227173,Paraguay
PSE,16191,Palestinian Territories
PYF,179860,French Polynesia
QAT,9512,Qatar
REU,43013,Réunion
ROU,137646,Romania
RUS,961511,Russia
RWA,60527,Rwanda
SAU,58143,Saudi Arabia
SDN,86699,Sudan
SEN,79345,Senegal
SGP,60035,Singapore
SHN,9117,St. Helena
SLB,112244,Solomon Islands
SLE,69248,Sierra Leone
SLV,56320,El Salvador
SMR,720,San Marino
SOM,39400,Somalia
SRB,18723,Serbia
SSD,4595,South Sudan
STP,15731,São Tomé & Príncipe
SUR,201348,Suriname
SVK,195787,Slovakia
SVN,156548,Slovenia
SWE,2538197,Sweden
SWZ,16286,Eswatini
SYC,61521,Seychelles
SYR,66087,Syria
TCA,6321,Turks & Caicos Islands
TCD,21262,Chad
TGO,39419,Togo
THA,498126,Thailand
TJK,47077,Tajikistan
TKL,1318,Tokelau
TKM,31439,Turkmenistan
TLS,3950,Timor-Leste
TON,28952,Tonga
TTO,115508,Trinidad & Tobago
TUN,86316,Tunisia
TUR,506012,Turkey
TUV,2657,Tuvalu
TWN,507494,Taiwan
TZA,513154,Tanzania
UGA,179877,Uganda
UKR,202181,Ukraine
URY,86468,Uruguay
USA,39330129,United States
UZB,50764,Uzbekistan
VAT,31,Vatican City
VCT,17263,St. Vincent & Grenadines
VEN,560650,Venezuela
VGB,12522,British Virgin Islands
VIR,46766,U.S. Virgin Islands
VNM,260166,Vietnam
VUT,44126,Vanuatu
WLF,2751,Wallis & Futuna
WSM,39096,Samoa
XKX,NA,NA
YEM,57568,Yemen
ZAF,1276234,South Africa
ZMB,172193,Zambia
ZWE,220641,Zimbabwe
