iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language,main_religion,main_religion_percentage,% atheists/non-religious,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count count of unique ecosystems in the country,pa_coverage_pct,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
AFG,Afghanistan,NA,NA,NA,NA,NA,NA,3060331298.82813,2201.72290691677,66.035,42647492,643493.3496858,66.2749537673133,27.265,Farsi,Muslims,99.86196899,0.008456565,3304,0,Never Colonized,666300,17,NA,1.85278199408184,33.8187564261474,7,3.6,No
ALB,Albania,10011.6279856667,27177735527.5667,NA,NA,NA,NA,360629669.189453,21263.1545689521,79.602,2714617,28399.0033587337,95.5884601198569,65.38,Albanian,Muslims,74.50722504,7.652887344,219787,0,Never Colonized,26459,4,NA,28.7919708029197,41.1348736888552,0,18.6,No
DZA,Algeria,5631.17999109851,263619794506.723,0.47865,821.66519,38465.6872775385,1261816146.40643,202314987.182617,16824.4879034626,76.261,46814308,2327947.16039891,20.109695269878,75.748,Arabic,Muslims,98.38234711,1.266207099,557664,1,France,150717,10,NA,0.822088053271978,28.0559934221189,NA,4.6,Yes
ASM,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,72.852,46765,120.68079754216,387.509868615697,87.284,Samoan,NA,NA,NA,NA,NA,Unknown,50562,1,NA,85.5,-14.3044663174587,0,16.7,No
AND,Andorra,49303.6733899464,4039844390.22543,NA,NA,NA,NA,NA,71730.668682165,84.041,81938,442.799466932664,185.045389886298,87.747,Catalan,NA,NA,NA,NA,0,Never Colonized,10299,1,NA,34.0425531914894,42.5422863943124,0,26.9,No
AGO,Angola,2122.08368991872,80396942241.6233,0.03229,18.93579,717.39848063571,25960172.6498202,147169143.676758,8046.81729875579,64.617,37885849,1252254.04024834,30.2541239894795,69.281,Portuguese,Christians,93.04470825,6.114808083,2045473,1,Portugal,188054,15,NA,52.9817223871019,-12.2706139265484,75,10.7,No
ATG,Antigua and Barbuda,23725.7903725506,2224814814.81481,NA,NA,NA,NA,NA,31601.7527146877,77.598,93772,433.799122323463,216.164568286237,24.338,English,NA,NA,NA,NA,1,Unknown,14483,3,NA,18.3029545454545,17.2771040353237,10,19.9,Yes
ARG,Argentina,13858.2039802008,633266692533.689,0.54947,1296.45435,59242.9841138417,3479610495.46486,259022705.078125,30082.3045247325,77.395,45696159,2788914.65709639,16.3849255421732,92.579,Spanish,Christians,88.45394135,9.232909203,4172533,1,Spain,908862,19,NA,10.4008857415345,-34.6839876712258,340,8.7,Yes
ARM,Armenia,8500.60522486719,25786585949.6346,0.18115,1039.84774,3154.37811929,46712400.4477631,205138351.44043,21534.0305361169,77.4658536585366,3033500,29623.7398999346,102.400980100648,63.929,Armenian,Christians,97.31269073,1.177880645,34051,0,Never Colonized,66378,2,NA,11.641626848728,40.2873277734289,1,24.7,No
ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,44967.3445127082,76.353,107624,155.614539505209,691.606326389555,44.474,Papiamento,Christians,81.42006683,5.873986721,6309,NA,Unknown,4396,2,NA,2.33333333333333,12.520878060142,2,18.9,No
AUS,Australia,64407.484256932,1752193307380.34,1.85509,4568.56658,124286.981212683,32504762825.882,NA,70513.4748706981,83.0512195121951,27204809,7723252.76433334,3.52245482960679,86.75,English,Christians,46.75042343,42.34402084,10900956,1,Britain,2167383,38,NA,17.4213145571644,-25.7641815523079,1774,20.4,Yes
AUT,Austria,56833.1960472053,521642466921.745,3.20048,6658.54873,61115.3696644279,16695062825.3371,NA,70478.7873635411,81.5414634146342,9178482,84098.680892762,109.139428853871,59.819,German,Christians,68.19069672,22.39739227,1998162,0,Never Colonized,588537,4,NA,47.1720794958798,47.5922934429587,0,29.5,No
AZE,Azerbaijan,7283.83562954872,74315882352.9412,0.18178,1663.3395,16970.803417575,135091410.941177,123224662.780762,23651.5994551766,74.429,10202850,86595.7674876196,117.821578305875,57.997,Azerbaijani,Muslims,94.72725677,4.759952545,484646,0,Never Colonized,62818,4,NA,13.8329909255898,40.2866618409577,0,10.2,No
BHS,Bahamas,39455.4466548546,15832800000,NA,NA,NA,NA,NA,39090.1665080164,74.552,401283,12697.1257646755,31.6042392142325,83.764,English,Christians,97.58940125,1.856881499,7351,1,Britain,121665,2,NA,50.9350649350649,24.280018782811,36,36.6,Yes
BHR,Bahrain,30048.2177718844,47736702127.6596,0.10116,384.09339,610.1976458913,48290447.8723405,NA,64171.0857359052,81.284,1588670,542.697832344822,2927.35645015545,89.999,Arabic,Muslims,74.02146912,0.320074171,4747,1,Britain,3894,2,NA,0.911392405063291,26.0419637770137,0,13,Yes
BGD,Bangladesh,2593.41607390407,450119424622.389,NA,NA,NA,NA,5683857421.875,9147.7775066555,74.672,173562364,135955.133923042,1276.61500519903,41.23,Bangla,Muslims,91.06732178,0,0,1,Britain,43631,8,NA,14.4687716063609,23.8606661365356,2,4.6,No
BRB,Barbados,25365.7949424181,7165000000,NA,NA,NA,NA,NA,21336.1575553016,76.178,282467,390.155753927826,723.985221687267,31.548,English,Christians,77.34906769,20.13895226,56731,1,Britain,24122,1,NA,14.6511627906977,13.1814498077448,6,1.3,Yes
BLR,Belarus,8316.64776291533,75961865471.9129,0.57843,1504.35265,13740.3238515368,439386218.449186,114752738.952637,30834.1773660201,74.1837804878049,9133712,207156.210682666,44.0909397304604,81.125,Russian,Christians,85.13063812,13.77174568,1287788,0,Never Colonized,18728,2,NA,43.2722345405272,53.5195205570396,0,13.8,No
BEL,Belgium,55954.6106261018,664564181486.953,3.40544,6983.19007,82938.2590837391,22631334462.0293,NA,69059.1768269112,82.3975609756098,11876844,30699.6173709237,386.872704519399,98.224,Dutch,Christians,50.97150421,38.98344803,4498732,0,Never Colonized,490620,2,NA,22.604446776415,50.6388949631126,0,15.6,No
BLZ,Belize,8429.67959707387,3515783328.91079,NA,NA,NA,NA,31858842.8497314,13823.4379513758,73.566,417072,22830.1444987579,18.2684783279707,46.838,English,Christians,74.36605072,15.62960529,61082,1,Multiple,109724,5,NA,55.4971503726436,17.1982988706373,2,37.5,Yes
BEN,Benin,1485.38018980894,21482643720.2743,NA,NA,NA,NA,1034930297.85156,4129.9661200142,60.774,14462724,116842.809011129,123.779324738953,50.669,French,Christians,53.23115921,4.885910034,638597,1,France,31984,4,NA,27.3603228095069,9.63561223430696,2,29.6,No
BMU,Bermuda,138934.958846463,8980200000,0.22546,NA,NA,20246758.92,NA,114372.049927372,82.309,64636,66.1311521749077,977.391106524906,100,English,NA,NA,NA,NA,NA,Unknown,37599,1,NA,18.5185185185185,32.313678069657,6,2.1,Yes
BTN,Bhutan,NA,NA,NA,NA,NA,NA,156838043.212891,16253.9629503074,72.975,791524,39966.1677596639,19.8048510620237,45,Tshangla,Buddhists,74.73525238,0.043676686,336,1,Britain,35034,10,NA,71.4997378080755,27.412137795939,3,49.7,No
BOL,Bolivia,4001.21133990795,49668296743.8495,NA,63.0569,782.7451626235,NA,764393493.652344,10925.2730525053,68.581,12413315,1092712.65566704,11.3600908121837,71.545,Spanish,Christians,88.92559814,9.547657967,1128180,1,Spain,430494,15,NA,46.7283054555525,-16.6819842351507,138,30.9,Yes
BIH,Bosnia and Herzegovina,8957.37294188215,28343394203.4694,0.19228,669.76765,2119.31429581545,54498678.374431,307687896.728516,22512.434413542,77.85,3164253,51800.2901896077,61.0856230422203,50.708,Bosnian,NA,NA,NA,NA,0,Never Colonized,24046,4,NA,42.7326171875,44.1714743328822,0,4.1,No
BWA,Botswana,7695.2420641819,19400774882.4495,0.561,179.77334,453.23357863426,108838347.090542,284583099.365234,21012.1031973569,69.163,2521139,581926.304917768,4.33240253739047,73.49,Setswana,Christians,82.29058838,14.72220898,348312,1,Britain,52845,8,NA,26.7083090713391,-22.1652447870996,1,29.1,No
BRA,Brazil,10280.3148624429,2179412080828.59,1.14526,903.20079,191477.278612473,24959934796.8975,699971862.792969,21175.6186990185,75.848,211998573,8518415.1791144,24.887090913317,88.016,Portuguese,Christians,80.65506744,13.47328377,28113467,1,Portugal,8772030,48,NA,59.2704836243471,-10.6390487673327,1583,30.6,No
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,77.276,39471,135.661472017199,290.952172441383,50.171,English,NA,NA,NA,NA,NA,Unknown,12522,2,NA,24.1333333333333,18.5258126951176,7,9.1,Yes
BRN,Brunei Darussalam,33417.8357740437,15463134387.2013,0.27764,506.18125,234.22069418125,42931846.3126257,NA,85032.6008678781,75.327,462721,5684.77825323771,81.3964906610845,79.439,Malay,NA,NA,NA,NA,1,Unknown,28462,4,NA,72.1062618595825,4.51968373655883,0,46.9,No
BGR,Bulgaria,17412.4115085691,112211952703.831,0.75421,2557.19806,16479.52023313,846313768.487564,NA,37507.659899221,75.7073170731707,6444366,112670.100879559,57.1967713678435,77.037,Bulgarian,Christians,79.49707794,10.0321579,695595,0,Never Colonized,130180,6,NA,35.9801031687546,42.7712410497898,0,41,No
BFA,Burkina Faso,987.321378101867,23250214909.5391,0.25126,46.5781,1096.8574762961,58418489.9817079,1436421997.07031,2754.71346543427,61.092,23548781,274297.331688303,85.8512944878355,33.166,Mossi,Muslims,67.40969849,0.575799108,123674,1,France,41865,2,NA,22.5380116959064,12.270726248786,0,16.4,No
BDI,Burundi,153.930217854023,2162378759.3467,0.21312,22.4816,315.8167057376,4608461.61191969,621667724.609375,919.597971491806,63.651,14047786,27268.3313842847,515.168522856372,15.16,Kirundi,Christians,94.98027802,1.25295496,158086,1,Multiple,38657,6,NA,10.8894080996885,-3.35921514381575,2,7.6,No
CPV,Cabo Verde,5272.85253011419,2767599017.44874,0.06622,124.92558,65.57056365366,1832704.06935456,101708351.135254,10300.4408938316,76.059,524877,3593.07634688637,146.080113342105,68.412,Cape Verdean Creole,NA,NA,NA,NA,1,Unknown,41081,1,NA,11.4193548387097,15.9533055158382,27,2.9,No
KHM,Cambodia,2627.8796974226,46352647034.7775,0.11823,30.38923,536.02958051323,54802734.5892174,1581260620.11719,7430.73085709415,70.668,17638801,181769.850318879,97.0392007753554,26.035,Khmer,Buddhists,97.09085846,0.079039522,13220,1,France,39055,8,NA,44.825968728756,12.719494903029,14,39.7,No
CMR,Cameroon,1762.3683508844,51326764684.8595,NA,NA,NA,NA,940268859.863281,5405.57465742869,63.7,29123744,466925.481188235,62.3734303938301,59.892,French,Christians,69.8339386,2.079864502,545144,1,Multiple,261471,13,NA,42.9110448266379,5.6811680031629,111,11,No
CAN,Canada,54282.6176051733,2241253230970.34,1.70133,5411.82682,223446.747428425,38131113594.4677,NA,64462.9211694495,81.6465853658537,41288599,9894148.90362396,4.17303190018467,81.98,English,Christians,53.32112503,34.62942886,13218712,1,Multiple,2218823,45,NA,39.4701279256318,60.4177669843847,5,12.8,Yes
CYM,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,86689.2088816431,80.358,74457,301.981606124244,246.561374898331,100,English,NA,NA,NA,NA,NA,Unknown,13274,2,NA,52.75,19.4298043928056,249,10.8,Yes
CAF,Central African Republic,516.170424537757,2751544520.37918,NA,NA,NA,NA,737595642.089844,1257.09435709914,57.408,5330690,622374.719765527,8.5650811813312,44.13,Sango,Christians,90.67516327,0.452453792,22743,1,France,46555,6,NA,35.7523516003724,6.57229916426693,11,18.1,No
TCD,Chad,1016.08880662712,20625711664.6472,0.3005,56.72121,1151.39081849883,61980263.5522648,1137950195.3125,2931.57900890409,55.069,20299123,1273840.84897393,15.93536823407,24.691,Arabic,Muslims,56.35778046,3.13465786,539935,1,France,21262,7,NA,3.33650992693774,15.2753594097694,1,21,Yes
CHL,Chile,16709.8893972307,330267137371.592,0.36041,638.83802,12626.4871713934,1190315789.80095,NA,32801.3786378418,81.167,19764771,739086.266706654,26.7421705561804,88.116,Spanish,Christians,68.32601929,30.26606369,5862725,1,Spain,425703,12,NA,24.6807203850391,-36.0762465539058,143,21,Yes
CHN,China,13303.1481543868,18743803170827.2,2.55518,1849.23669,2605528.26529275,478937909860.342,-267158996.582031,25179.1193066383,77.953,1408975000,9392194.49430161,150.015526281408,65.544,Mandarin,Religiously_unaffiliated,89.6231308,89.6231308,1278120929,0,Never Colonized,2096806,61,NA,23.6315548970464,36.6914066934515,566,15.6,No
COL,Colombia,7913.98801464547,418542042920.189,0.2894,90.24729,4772.85093870627,1211260672.21103,1031310791.01563,20944.4883888657,77.725,52886363,1141985.57704875,46.3108852361121,82.652,Spanish,Christians,86.2469635,9.943602562,5034446,1,Spain,1364137,33,NA,53.1253958539883,3.90348005339009,666,16.4,Yes
COM,Comoros,1784.11546860293,1546164420.32442,NA,NA,NA,NA,166350936.889648,3902.7466596027,66.777,866628,1589.52687664517,545.211290688642,30.418,Comorian,Muslims,98.30000305,0.129999995,1043,1,France,18001,1,NA,17.4529822675981,-11.877908568326,34,33.8,No
COD,Democratic Republic of the Congo,647.435704836002,70749355652.1207,0.40638,10.10515,1104.25304926475,287511231.499088,4347290527.34375,1616.46849175601,61.895,109276265,2339854.21739177,46.7021681042206,48.055,NA,Christians,96.26151276,1.175555229,1128415,1,Unknown,602280,19,NA,55.1615535607949,-2.86548803140688,145,13.9,No
COG,Republic of Congo,2482.24894743495,15719985776.3966,0.38339,126.96941,804.09232172301,60268853.4681269,377500213.623047,6850.27770621099,65.772,6332961,347650.698608557,18.2164483642551,69.638,NA,NA,NA,NA,NA,1,Unknown,50206,5,NA,64.2196193265007,-0.836992413922509,6,36.8,No
CRI,Costa Rica,18587.1532203614,95350423176.664,0.33789,462.47421,2372.4510746211,322179544.87163,144591003.417969,28075.1421722023,80.799,5129910,51628.7481513025,99.3615027225985,83.167,Spanish,Christians,87.85917664,10.09859562,508396,1,Spain,620818,7,NA,59.7579318448884,9.97613126505506,86,26.6,Yes
CIV,Cote d'Ivoire,2709.89511641252,86538413923.3943,0.06975,NA,NA,60360543.7115675,2376327392.57813,7227.02911717075,61.944,31934230,323018.436860642,98.8619420933462,53.644,NA,NA,NA,NA,NA,1,Unknown,132677,6,NA,8.5654927672956,7.62587836831142,7,23,No
HRV,Croatia,23931.4528382746,92526176108.621,1.40323,2534.42425,9798.844477775,1298355061.009,NA,45602.8206836116,78.4731707317073,3866300,54542.1723384422,70.8864321723205,58.945,Croatian,Christians,90.85782623,6.657827854,263248,0,Never Colonized,91842,4,NA,34.6963902787706,45.0758927694846,0,38.5,No
CUB,Cuba,NA,NA,0.36012,1968.33703,21611.9134602645,NA,167148452.758789,NA,78.085,10979783,109541.120131636,100.234350231269,77.657,Spanish,Christians,60.65393448,21.60783958,2414969,1,Spain,326586,6,NA,31.233140655106,21.6379353401667,2,16.2,Yes
CUW,Curacao,NA,NA,NA,NA,NA,NA,NA,30715.5728889069,76.8,155900,430.63850900145,362.020573500255,89.033,Papiamento,Christians,90.61946869,5.926228046,10965,NA,Unknown,15508,2,NA,0.157657657657658,12.1955184113464,9,15.7,No
CYP,Cyprus,38654.16796875,36333022329.4981,0.74527,1727.63497,2346.61548232154,270779115.51505,NA,57213.62109375,81.648,1358282,5720.92898530238,237.423328184908,67.082,Greek,Christians,67.7487793,6.57008934,85559,1,Britain,68077,1,NA,18.6699134199134,34.9170873380788,8,38.7,No
CZE,Czechia,31706.6234229743,345036675975.047,1.9642,4696.68437,51110.0895705767,6777210389.50187,NA,53217.2191709182,79.8780487804878,10882164,78657.8671774883,138.348068546593,74.738,NA,NA,NA,NA,NA,0,Never Colonized,189633,4,NA,34.7066980208929,49.7379966812804,0,22.2,No
DNK,Denmark,71851.7562131368,429457372071.869,2.89051,8735.60064,52212.6151404749,12413508285.4746,NA,73737.4475447105,81.8536585365854,5976992,42512.2429664655,140.594604822774,88.626,Danish,Christians,76.90623474,16.63090706,969836,0,Never Colonized,845481,2,NA,15.7345,55.9749821709948,0,17,No
DJI,Djibouti,3496.47111876763,4086402718.86834,NA,NA,NA,NA,222374710.083008,7264.04490470983,65.987,1168722,21752.6330779312,53.7278404785721,78.732,Somali,Muslims,97.67207336,1.101313591,12172,1,France,5055,3,NA,0.253377911993098,11.7483067155296,2,1.6,No
DMA,Dominica,10405.2787777582,688881481.481481,NA,NA,NA,NA,52636611.9384766,20285.9821663707,71.132,66205,699.382102070206,94.6621307637554,72.312,English,NA,NA,NA,NA,1,Multiple,43286,2,NA,63.8266666666667,15.4394350091859,63,22,Yes
DOM,Dominican Republic,10875.6618443092,124282245638.568,NA,20.03771,228.98207317447,NA,663396301.269531,25839.9356687607,73.72,11427557,48698.1389035675,234.661062153298,85.011,Spanish,Christians,77.63658142,19.60108948,2157747,1,Spain,184226,5,NA,44.6530791098888,18.8951155530384,3,26.4,Yes
ECU,Ecuador,6874.705739766,124676074700,0.43839,400.26149,7258.93344614222,546567443.87733,554708068.847656,15918.5162948773,77.392,18135478,256239.116841957,70.7756029739424,65.029,Spanish,Christians,88.52362061,8.391396523,1472360,1,Spain,648028,11,NA,50.0626509904977,-1.42410985165357,481,23.5,Yes
EGY,Egypt,3338.47371395895,389059911003.566,1.03356,845.3181,98511.8988298698,4021167616.16846,480069641.113281,18524.8392997937,71.633,116538258,1005831.19137677,115.862640768262,43.258,Arabic,Muslims,95.17256927,0.004652523,5086,1,Britain,176288,12,NA,0.0451855944547692,26.4598029034498,NA,13.1,Yes
SLV,El Salvador,5579.65969165029,35364960000,0.1428,57.61826,365.19565220418,50501162.88,498810394.287109,12679.5768752061,72.099,6338193,20437.3703693427,310.127618448784,75.996,Spanish,Christians,87.10838318,11.88199902,740804,1,Spain,56320,5,NA,27.9623552123552,13.7398637238293,1,8.6,Yes
GNQ,Equatorial Guinea,6745.40013244916,12765777677.0622,NA,NA,NA,NA,11663417.8161621,17411.500234384,63.707,1892516,26703.3579841963,70.8718357114501,74.874,Spanish,Christians,88.68036652,4.98730135,85605,1,Multiple,45545,4,NA,86.9896613190731,1.70540563315078,19,19.3,Yes
ERI,Eritrea,NA,NA,NA,NA,NA,NA,129190628.051758,NA,68.624,3535603,123954.936080523,28.5232933176878,43.911,Tigrigna,Muslims,51.66958237,1.061151981,34925,1,Multiple,18126,6,NA,8.68225472898591,15.3611244617467,3,0,No
EST,Estonia,31170.0915091887,42764929169.3258,1.78205,4654.85436,6386.39501395896,762092420.26197,NA,46790.2700170266,78.490243902439,1371986,45554.3404632875,30.1175691722656,70.019,Estonian,Christians,52.61386108,43.60287857,579774,0,Never Colonized,784748,1,NA,57.0385964912281,58.6729024249373,0,21.4,No
SWZ,Eswatini,3936.10969242371,4891883720.15742,0.26754,137.91577,171.40475310294,13087745.7049092,110430183.410645,11322.2286283713,64.123,1242822,17030.0853222834,72.9780254461674,25.013,NA,Christians,93.2284317,6.155977249,73424,1,Britain,16286,3,NA,28.9982558139535,-26.5575464893393,1,4.3,No
ETH,Ethiopia,NA,NA,0.27437,89.03843,11758.3943198458,NA,5401845703.125,3060.9050300376002,67.315,132059767,1134318.061809,116.422167156002,23.661,Oromo,Christians,61.57827377,0.062328301,74119,0,Never Colonized,245362,11,NA,15.0601822445542,8.61440065046903,105,17,No
FRO,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,78165.1753811838,83.1439024390244,54719,1037.56561890264,52.7378693001339,43.206,Faroese,NA,NA,NA,NA,NA,Unknown,25873,1,NA,0.0583941605839416,62.0522625084493,0,2.3,No
FJI,Fiji,6288.39867264416,5840564072.77313,NA,NA,NA,NA,190190093.994141,15152.1377770174,67.316,928784,18447.7450307305,50.3467496137234,59.192,Fijian,Christians,69.51997375,0.251333505,2300,1,Britain,149596,2,NA,62.7640941434045,-17.4275460095832,54,5.4,No
FIN,Finland,53188.6186245158,299835625550.781,2.96469,8073.14567,45510.0497949634,8889196807.14145,NA,61612.9423925582,81.6853658536585,5637214,331232.397144355,17.0189089249722,85.872,Finnish,Christians,72.28497314,25.04721832,1385014,0,Never Colonized,502423,3,NA,73.7264996576714,64.2551360000276,0,13.4,No
FRA,France,46150.4876861593,3162079073495.78,2.23312,5181.84576,355042.966202346,70613020206.049,NA,58317.828030698,82.9292682926829,68516699,NA,NA,82.044,French,Christians,46.46761322,42.64575195,28105801,0,Never Colonized,2755757,NA,NA,32.1669913721124,NA,5,28.4,No
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,84.07,281807,2620.58750099638,107.535810154346,62.42,French,Christians,93.44609833,5.035518169,14060,NA,Unknown,179860,3,NA,43.0596369922213,-14.7131078768822,45,2,No
GAB,Gabon,8218.76307061848,20867044935.6729,NA,NA,NA,NA,53148811.340332,20757.0723768613,68.337,2538952,261246.365202686,9.71861177103908,91.307,French,Christians,83.74291992,5.762040138,133826,1,France,90625,4,NA,91.2745760080723,-0.586446577901781,13,22.4,No
