iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language_code,is_english_main,ever_colonized,n_records_gbif,biome_diversity_count,pa_coverage_pct,forest_cover_pct,mean_latitude,colonizer,wb_total_research_spending_usd,wb_total_researchers_count,open_knowledge_score
AFG,Afghanistan,NA,NA,NA,NA,3060331298.82813,2201.72290691677,66.035,42647492,643493.3496858,66.27495376731335,27.265,NA,NA,0,666300,17,NA,1.85278199408184,33.8187564261474,Never Colonized,NA,NA,NA
ALB,Albania,10011.6279856667,27177735527.5667,NA,NA,360629669.189453,21263.1545689521,79.602,2714617,28399.0033587337,95.58846011985696,65.38,NA,NA,0,26459,4,NA,28.7919708029197,41.1348736888552,Never Colonized,NA,NA,NA
DZA,Algeria,5631.17999109851,263619794506.723,0.47865,821.66519,202314987.182617,16824.4879034626,76.261,46814308,2327947.16039891,20.109695269878053,75.748,NA,NA,1,150717,10,NA,0.822088053271978,28.0559934221189,France,1261816146.40643,38465.6872775385,NA
ASM,American Samoa,NA,NA,NA,NA,NA,NA,72.852,46765,120.68079754216,387.5098686156974,87.284,NA,NA,NA,50562,1,NA,85.5,-14.3044663174587,Unknown,NA,NA,NA
AND,Andorra,49303.6733899464,4039844390.22543,NA,NA,NA,71730.668682165,84.041,81938,442.799466932664,185.0453898862986,87.747,NA,NA,0,10299,1,NA,34.0425531914894,42.5422863943124,Never Colonized,NA,NA,NA
AGO,Angola,2122.08368991872,80396942241.6233,0.03229,18.93579,147169143.676758,8046.81729875579,64.617,37885849,1252254.04024834,30.254123989479556,69.281,NA,NA,1,188054,15,NA,52.9817223871019,-12.2706139265484,Portugal,25960172.6498202,717.39848063571,NA
ATG,Antigua and Barbuda,23725.7903725506,2224814814.81481,NA,NA,NA,31601.7527146877,77.598,93772,433.799122323463,216.16456828623726,24.338,NA,NA,1,14483,3,NA,18.3029545454545,17.2771040353237,Unknown,NA,NA,NA
ARG,Argentina,13858.2039802008,633266692533.689,0.54947,1296.45435,259022705.078125,30082.3045247325,77.395,45696159,2788914.65709639,16.384925542173253,92.579,NA,NA,1,908862,19,NA,10.4008857415345,-34.6839876712258,Spain,3479610495.46486,59242.9841138417,NA
ARM,Armenia,8500.60522486719,25786585949.6346,0.18115,1039.84774,205138351.44043,21534.0305361169,77.4658536585366,3033500,29623.7398999346,102.40098010064884,63.929,NA,NA,0,66378,2,NA,11.641626848728,40.2873277734289,Never Colonized,46712400.4477631,3154.37811929,NA
ABW,Aruba,NA,NA,NA,NA,NA,44967.3445127082,76.353,107624,155.614539505209,691.6063263895558,44.474,NA,NA,NA,4396,2,NA,2.33333333333333,12.520878060142,Unknown,NA,NA,NA
AUS,Australia,64407.484256932,1752193307380.34,1.85509,4568.56658,NA,70513.4748706981,83.0512195121951,27204809,7723252.76433334,3.5224548296067946,86.75,NA,NA,1,2167383,38,NA,17.4213145571644,-25.7641815523079,Britain,32504762825.882,124286.981212683,NA
AUT,Austria,56833.1960472053,521642466921.745,3.20048,6658.54873,NA,70478.7873635411,81.5414634146342,9178482,84098.680892762,109.13942885387101,59.819,NA,NA,0,588537,4,NA,47.1720794958798,47.5922934429587,Never Colonized,16695062825.3371,61115.3696644279,NA
AZE,Azerbaijan,7283.83562954872,74315882352.9412,0.18178,1663.3395,123224662.780762,23651.5994551766,74.429,10202850,86595.7674876196,117.82157830587596,57.997,NA,NA,0,62818,4,NA,13.8329909255898,40.2866618409577,Never Colonized,135091410.941177,16970.803417575,NA
BHS,Bahamas,39455.4466548546,15832800000,NA,NA,NA,39090.1665080164,74.552,401283,12697.1257646755,31.604239214232557,83.764,NA,NA,1,121665,2,NA,50.9350649350649,24.280018782811,Britain,NA,NA,NA
BHR,Bahrain,30048.2177718844,47736702127.6596,0.10116,384.09339,NA,64171.0857359052,81.284,1588670,542.697832344822,2927.356450155458,89.999,NA,NA,1,3894,2,NA,0.911392405063291,26.0419637770137,Britain,48290447.8723405,610.1976458913,NA
BGD,Bangladesh,2593.41607390407,450119424622.389,NA,NA,5683857421.875,9147.7775066555,74.672,173562364,135955.133923042,1276.6150051990367,41.23,NA,NA,1,43631,8,NA,14.4687716063609,23.8606661365356,Britain,NA,NA,NA
BRB,Barbados,25365.7949424181,7165000000,NA,NA,NA,21336.1575553016,76.178,282467,390.155753927826,723.9852216872672,31.548,NA,NA,1,24122,1,NA,14.6511627906977,13.1814498077448,Britain,NA,NA,NA
BLR,Belarus,8316.64776291533,75961865471.9129,0.57843,1504.35265,114752738.952637,30834.1773660201,74.1837804878049,9133712,207156.210682666,44.090939730460484,81.125,NA,NA,0,18728,2,NA,43.2722345405272,53.5195205570396,Never Colonized,439386218.449186,13740.3238515368,NA
BEL,Belgium,55954.6106261018,664564181486.953,3.40544,6983.19007,NA,69059.1768269112,82.3975609756098,11876844,30699.6173709237,386.87270451939986,98.224,NA,NA,0,490620,2,NA,22.604446776415,50.6388949631126,Never Colonized,22631334462.0293,82938.2590837391,NA
BLZ,Belize,8429.67959707387,3515783328.91079,NA,NA,31858842.8497314,13823.4379513758,73.566,417072,22830.1444987579,18.26847832797078,46.838,NA,NA,1,109724,5,NA,55.4971503726436,17.1982988706373,Multiple,NA,NA,NA
BEN,Benin,1485.38018980894,21482643720.2743,NA,NA,1034930297.85156,4129.9661200142,60.774,14462724,116842.809011129,123.77932473895301,50.669,NA,NA,1,31984,4,NA,27.3603228095069,9.63561223430696,France,NA,NA,NA
BMU,Bermuda,138934.958846463,8980200000,0.22546,NA,NA,114372.049927372,82.309,64636,66.1311521749077,977.3911065249064,100,NA,NA,NA,37599,1,NA,18.5185185185185,32.313678069657,Unknown,20246758.92,NA,NA
BTN,Bhutan,NA,NA,NA,NA,156838043.212891,16253.9629503074,72.975,791524,39966.1677596639,19.804851062023776,45,NA,NA,1,35034,10,NA,71.4997378080755,27.412137795939,Britain,NA,NA,NA
BOL,Bolivia,4001.21133990795,49668296743.8495,NA,63.0569,764393493.652344,10925.2730525053,68.581,12413315,1092712.65566704,11.360090812183707,71.545,NA,NA,1,430494,15,NA,46.7283054555525,-16.6819842351507,Spain,NA,782.7451626235,NA
BIH,Bosnia and Herzegovina,8957.37294188215,28343394203.4694,0.19228,669.76765,307687896.728516,22512.434413542,77.85,3164253,51800.2901896077,61.085623042220334,50.708,NA,NA,0,24046,4,NA,42.7326171875,44.1714743328822,Never Colonized,54498678.374431,2119.31429581545,NA
BWA,Botswana,7695.2420641819,19400774882.4495,0.561,179.77334,284583099.365234,21012.1031973569,69.163,2521139,581926.304917768,4.332402537390473,73.49,NA,NA,1,52845,8,NA,26.7083090713391,-22.1652447870996,Britain,108838347.090542,453.23357863426,NA
BRA,Brazil,10280.3148624429,2179412080828.59,1.14526,903.20079,699971862.792969,21175.6186990185,75.848,211998573,8518415.1791144,24.88709091331705,88.016,NA,NA,1,8772030,48,NA,59.2704836243471,-10.6390487673327,Portugal,24959934796.8975,191477.278612473,NA
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,77.276,39471,135.661472017199,290.9521724413834,50.171,NA,NA,NA,12522,2,NA,24.1333333333333,18.5258126951176,Unknown,NA,NA,NA
BRN,Brunei Darussalam,33417.8357740437,15463134387.2013,0.27764,506.18125,NA,85032.6008678781,75.327,462721,5684.77825323771,81.39649066108458,79.439,NA,NA,1,28462,4,NA,72.1062618595825,4.51968373655883,Unknown,42931846.3126257,234.22069418125,NA
BGR,Bulgaria,17412.4115085691,112211952703.831,0.75421,2557.19806,NA,37507.659899221,75.7073170731707,6444366,112670.100879559,57.19677136784351,77.037,NA,NA,0,130180,6,NA,35.9801031687546,42.7712410497898,Never Colonized,846313768.487564,16479.52023313,NA
BFA,Burkina Faso,987.321378101867,23250214909.5391,0.25126,46.5781,1436421997.07031,2754.71346543427,61.092,23548781,274297.331688303,85.85129448783553,33.166,NA,NA,1,41865,2,NA,22.5380116959064,12.270726248786,France,58418489.9817079,1096.8574762961,NA
BDI,Burundi,153.930217854023,2162378759.3467,0.21312,22.4816,621667724.609375,919.597971491806,63.651,14047786,27268.3313842847,515.1685228563721,15.16,NA,NA,1,38657,6,NA,10.8894080996885,-3.35921514381575,Multiple,4608461.61191969,315.8167057376,NA
CPV,Cabo Verde,5272.85253011419,2767599017.44874,0.06622,124.92558,101708351.135254,10300.4408938316,76.059,524877,3593.07634688637,146.08011334210568,68.412,NA,NA,1,41081,1,NA,11.4193548387097,15.9533055158382,Unknown,1832704.06935456,65.57056365366,NA
KHM,Cambodia,2627.8796974226,46352647034.7775,0.11823,30.38923,1581260620.11719,7430.73085709415,70.668,17638801,181769.850318879,97.03920077535541,26.035,NA,NA,1,39055,8,NA,44.825968728756,12.719494903029,France,54802734.5892174,536.02958051323,NA
CMR,Cameroon,1762.3683508844,51326764684.8595,NA,NA,940268859.863281,5405.57465742869,63.7,29123744,466925.481188235,62.3734303938301,59.892,NA,NA,1,261471,13,NA,42.9110448266379,5.6811680031629,Multiple,NA,NA,NA
CAN,Canada,54282.6176051733,2241253230970.34,1.70133,5411.82682,NA,64462.9211694495,81.6465853658537,41288599,9894148.90362396,4.173031900184673,81.98,NA,NA,1,2218823,45,NA,39.4701279256318,60.4177669843847,Multiple,38131113594.4677,223446.747428425,NA
CYM,Cayman Islands,NA,NA,NA,NA,NA,86689.2088816431,80.358,74457,301.981606124244,246.56137489833148,100,NA,NA,NA,13274,2,NA,52.75,19.4298043928056,Unknown,NA,NA,NA
CAF,Central African Republic,516.170424537757,2751544520.37918,NA,NA,737595642.089844,1257.09435709914,57.408,5330690,622374.719765527,8.565081181331207,44.13,NA,NA,1,46555,6,NA,35.7523516003724,6.57229916426693,France,NA,NA,NA
TCD,Chad,1016.08880662712,20625711664.6472,0.3005,56.72121,1137950195.3125,2931.57900890409,55.069,20299123,1273840.84897393,15.935368234070058,24.691,NA,NA,1,21262,7,NA,3.33650992693774,15.2753594097694,France,61980263.5522648,1151.39081849883,NA
CHL,Chile,16709.8893972307,330267137371.592,0.36041,638.83802,NA,32801.3786378418,81.167,19764771,739086.266706654,26.742170556180433,88.116,NA,NA,1,425703,12,NA,24.6807203850391,-36.0762465539058,Spain,1190315789.80095,12626.4871713934,NA
CHN,China,13303.1481543868,18743803170827.2,2.55518,1849.23669,-267158996.582031,25179.1193066383,77.953,1408975000,9392194.49430161,150.01552628140814,65.544,NA,NA,0,2096806,61,NA,23.6315548970464,36.6914066934515,Never Colonized,478937909860.342,2605528.26529275,NA
COL,Colombia,7913.98801464547,418542042920.189,0.2894,90.24729,1031310791.01563,20944.4883888657,77.725,52886363,1141985.57704875,46.31088523611218,82.652,NA,NA,1,1364137,33,NA,53.1253958539883,3.90348005339009,Spain,1211260672.21103,4772.85093870627,NA
COM,Comoros,1784.11546860293,1546164420.32442,NA,NA,166350936.889648,3902.7466596027,66.777,866628,1589.52687664517,545.2112906886426,30.418,NA,NA,1,18001,1,NA,17.4529822675981,-11.877908568326,France,NA,NA,NA
COD,Democratic Republic of the Congo,647.435704836002,70749355652.1207,0.40638,10.10515,4347290527.34375,1616.46849175601,61.895,109276265,2339854.21739177,46.70216810422061,48.055,NA,NA,1,602280,19,NA,55.1615535607949,-2.86548803140688,Unknown,287511231.499088,1104.25304926475,NA
COG,Republic of Congo,2482.24894743495,15719985776.3966,0.38339,126.96941,377500213.623047,6850.27770621099,65.772,6332961,347650.698608557,18.216448364255125,69.638,NA,NA,1,50206,5,NA,64.2196193265007,-0.836992413922509,Unknown,60268853.4681269,804.09232172301,NA
CRI,Costa Rica,18587.1532203614,95350423176.664,0.33789,462.47421,144591003.417969,28075.1421722023,80.799,5129910,51628.7481513025,99.36150272259859,83.167,NA,NA,1,620818,7,NA,59.7579318448884,9.97613126505506,Spain,322179544.87163,2372.4510746211,NA
CIV,Cote d'Ivoire,2709.89511641252,86538413923.3943,0.06975,NA,2376327392.57813,7227.02911717075,61.944,31934230,323018.436860642,98.86194209334622,53.644,NA,NA,1,132677,6,NA,8.5654927672956,7.62587836831142,Unknown,60360543.7115675,NA,NA
HRV,Croatia,23931.4528382746,92526176108.621,1.40323,2534.42425,NA,45602.8206836116,78.4731707317073,3866300,54542.1723384422,70.88643217232053,58.945,NA,NA,0,91842,4,NA,34.6963902787706,45.0758927694846,Never Colonized,1298355061.009,9798.844477775,NA
CUB,Cuba,NA,NA,0.36012,1968.33703,167148452.758789,NA,78.085,10979783,109541.120131636,100.23435023126979,77.657,NA,NA,1,326586,6,NA,31.233140655106,21.6379353401667,Spain,NA,21611.9134602645,NA
CUW,Curacao,NA,NA,NA,NA,NA,30715.5728889069,76.8,155900,430.63850900145,362.0205735002558,89.033,NA,NA,NA,15508,2,NA,0.157657657657658,12.1955184113464,Unknown,NA,NA,NA
CYP,Cyprus,38654.16796875,36333022329.4981,0.74527,1727.63497,NA,57213.62109375,81.648,1358282,5720.92898530238,237.42332818490806,67.082,NA,NA,1,68077,1,NA,18.6699134199134,34.9170873380788,Britain,270779115.51505,2346.61548232154,NA
CZE,Czechia,31706.6234229743,345036675975.047,1.9642,4696.68437,NA,53217.2191709182,79.8780487804878,10882164,78657.8671774883,138.34806854659354,74.738,NA,NA,0,189633,4,NA,34.7066980208929,49.7379966812804,Never Colonized,6777210389.50187,51110.0895705767,NA
DNK,Denmark,71851.7562131368,429457372071.869,2.89051,8735.60064,NA,73737.4475447105,81.8536585365854,5976992,42512.2429664655,140.5946048227747,88.626,NA,NA,0,845481,2,NA,15.7345,55.9749821709948,Never Colonized,12413508285.4746,52212.6151404749,NA
DJI,Djibouti,3496.47111876763,4086402718.86834,NA,NA,222374710.083008,7264.04490470983,65.987,1168722,21752.6330779312,53.727840478572176,78.732,NA,NA,1,5055,3,NA,0.253377911993098,11.7483067155296,France,NA,NA,NA
DMA,Dominica,10405.2787777582,688881481.481481,NA,NA,52636611.9384766,20285.9821663707,71.132,66205,699.382102070206,94.66213076375546,72.312,NA,NA,1,43286,2,NA,63.8266666666667,15.4394350091859,Multiple,NA,NA,NA
DOM,Dominican Republic,10875.6618443092,124282245638.568,NA,20.03771,663396301.269531,25839.9356687607,73.72,11427557,48698.1389035675,234.66106215329813,85.011,NA,NA,1,184226,5,NA,44.6530791098888,18.8951155530384,Spain,NA,228.98207317447,NA
ECU,Ecuador,6874.705739766,124676074700,0.43839,400.26149,554708068.847656,15918.5162948773,77.392,18135478,256239.116841957,70.77560297394245,65.029,NA,NA,1,648028,11,NA,50.0626509904977,-1.42410985165357,Spain,546567443.87733,7258.93344614222,NA
EGY,Egypt,3338.47371395895,389059911003.566,1.03356,845.3181,480069641.113281,18524.8392997937,71.633,116538258,1005831.19137677,115.86264076826231,43.258,NA,NA,1,176288,12,NA,0.0451855944547692,26.4598029034498,Britain,4021167616.16846,98511.8988298698,NA
SLV,El Salvador,5579.65969165029,35364960000,0.1428,57.61826,498810394.287109,12679.5768752061,72.099,6338193,20437.3703693427,310.1276184487841,75.996,NA,NA,1,56320,5,NA,27.9623552123552,13.7398637238293,Spain,50501162.88,365.19565220418,NA
GNQ,Equatorial Guinea,6745.40013244916,12765777677.0622,NA,NA,11663417.8161621,17411.500234384,63.707,1892516,26703.3579841963,70.87183571145012,74.874,NA,NA,1,45545,4,NA,86.9896613190731,1.70540563315078,Multiple,NA,NA,NA
ERI,Eritrea,NA,NA,NA,NA,129190628.051758,NA,68.624,3535603,123954.936080523,28.523293317687802,43.911,NA,NA,1,18126,6,NA,8.68225472898591,15.3611244617467,Multiple,NA,NA,NA
EST,Estonia,31170.0915091887,42764929169.3258,1.78205,4654.85436,NA,46790.2700170266,78.490243902439,1371986,45554.3404632875,30.11756917226562,70.019,NA,NA,0,784748,1,NA,57.0385964912281,58.6729024249373,Never Colonized,762092420.26197,6386.39501395896,NA
SWZ,Eswatini,3936.10969242371,4891883720.15742,0.26754,137.91577,110430183.410645,11322.2286283713,64.123,1242822,17030.0853222834,72.9780254461674,25.013,NA,NA,1,16286,3,NA,28.9982558139535,-26.5575464893393,Britain,13087745.7049092,171.40475310294,NA
ETH,Ethiopia,NA,NA,0.27437,89.03843,5401845703.125,3060.9050300376002,67.315,132059767,1134318.061809,116.42216715600233,23.661,NA,NA,0,245362,11,NA,15.0601822445542,8.61440065046903,Never Colonized,NA,11758.3943198458,NA
FRO,Faroe Islands,NA,NA,NA,NA,NA,78165.1753811838,83.1439024390244,54719,1037.56561890264,52.73786930013394,43.206,NA,NA,NA,25873,1,NA,0.0583941605839416,62.0522625084493,Unknown,NA,NA,NA
FJI,Fiji,6288.39867264416,5840564072.77313,NA,NA,190190093.994141,15152.1377770174,67.316,928784,18447.7450307305,50.346749613723475,59.192,NA,NA,1,149596,2,NA,62.7640941434045,-17.4275460095832,Britain,NA,NA,NA
FIN,Finland,53188.6186245158,299835625550.781,2.96469,8073.14567,NA,61612.9423925582,81.6853658536585,5637214,331232.397144355,17.0189089249722,85.872,NA,NA,0,502423,3,NA,73.7264996576714,64.2551360000276,Never Colonized,8889196807.14145,45510.0497949634,NA
FRA,France,46150.4876861593,3162079073495.78,2.23312,5181.84576,NA,58317.828030698,82.9292682926829,68516699,NA,NA,82.044,NA,NA,0,2755757,NA,NA,32.1669913721124,NA,Never Colonized,70613020206.049,355042.966202346,NA
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,84.07,281807,2620.58750099638,107.53581015434648,62.42,NA,NA,NA,179860,3,NA,43.0596369922213,-14.7131078768822,Unknown,NA,NA,NA
GAB,Gabon,8218.76307061848,20867044935.6729,NA,NA,53148811.340332,20757.0723768613,68.337,2538952,261246.365202686,9.718611771039086,91.307,NA,NA,1,90625,4,NA,91.2745760080723,-0.586446577901781,France,NA,NA,NA
GMB,Gambia,908.525674150965,2507519958.34857,0.06933,50.8608,343857177.734375,3254.37457760999,65.86,2759988,10336.6848059325,267.0090122527456,65.08,NA,NA,1,14615,3,NA,23.4123814229249,13.4509534899632,Britain,1738463.58712306,140.3751976704,NA
